false,1,24,false,false,false,false,false,false,false,false,false,false
true,2,25,true,true,true,true,true,true,true,true,true,true
false,3,26,false,false,false,false,false,false,false,false,false,false
true,4,27,true,true,true,true,true,true,true,true,true,true
false,5,28,false,false,false,false,false,false,false,false,false,false
true,6,29,true,true,true,true,true,true,true,true,true,true
false,7,30,false,false,false,false,false,false,false,false,false,false
true,8,31,true,true,true,true,true,true,true,true,true,true
false,9,32,false,false,false,false,false,false,false,false,false,false
true,10,33,true,true,true,true,true,true,true,true,true,true
false,11,34,false,false,false,false,false,false,false,false,false,false
true,12,35,true,true,true,true,true,true,true,true,true,true
false,13,36,false,false,false,false,false,false,false,false,false,false
true,14,37,true,true,true,true,true,true,true,true,true,true
false,15,38,false,false,false,false,false,false,false,false,false,false
true,16,39,true,true,true,true,true,true,true,true,true,true
false,17,40,false,false,false,false,false,false,false,false,false,false
true,18,41,true,true,true,true,true,true,true,true,true,true
false,19,42,false,false,false,false,false,false,false,false,false,false
true,20,43,true,true,true,true,true,true,true,true,true,true
false,21,44,false,false,false,false,false,false,false,false,false,false
true,22,45,true,true,true,true,true,true,true,true,true,true
false,23,46,false,false,false,false,false,false,false,false,false,false
true,1,47,true,true,true,true,true,true,true,true,true,true
false,2,48,false,false,false,false,false,false,false,false,false,false
true,3,49,true,true,true,true,true,true,true,true,true,true
false,4,50,false,false,false,false,false,false,false,false,false,false
true,5,51,true,true,true,true,true,true,true,true,true,true
false,6,52,false,false,false,false,false,false,false,false,false,false
true,7,53,true,true,true,true,true,true,true,true,true,true
false,8,54,false,false,false,false,false,false,false,false,false,false
true,9,55,true,true,true,true,true,true,true,true,true,true
false,10,56,false,false,false,false,false,false,false,false,false,false
true,11,57,true,true,true,true,true,true,true,true,true,true
false,12,58,false,false,false,false,false,false,false,false,false,false
true,13,59,true,true,true,true,true,true,true,true,true,true
false,14,60,false,false,false,false,false,false,false,false,false,false
true,15,61,true,true,true,true,true,true,true,true,true,true
false,16,62,false,false,false,false,false,false,false,false,false,false
true,17,63,true,true,true,true,true,true,true,true,true,true
false,18,64,false,false,false,false,false,false,false,false,false,false
true,19,65,true,true,true,true,true,true,true,true,true,true
false,20,66,false,false,false,false,false,false,false,false,false,false
true,21,67,true,true,true,true,true,true,true,true,true,true
false,22,68,false,false,false,false,false,false,false,false,false,false
true,23,69,true,true,true,true,true,true,true,true,true,true
false,1,70,false,false,false,false,false,false,false,false,false,false
true,2,71,true,true,true,true,true,true,true,true,true,true
false,3,72,false,false,false,false,false,false,false,false,false,false
true,4,73,true,true,true,true,true,true,true,true,true,true
